employee_id,birth_date,gender,marital_status,education_level,university,specialization,languages,address,emergency_contact,emergency_phone,base_salary,bonus_rate,vacation_days,sick_days,probation_end,last_review_date,next_review_date
90,1973-04-04,Ч,Одружений/а,Бакалавр,Миколаївський національний університет імені В.О. Сухомлинського,Живописець,['Українська'],"шосе Богдана Хмельницького, буд. 19 кв. 69, Миколаїв, 10545",Златослава Франко,+380 70 831 06 77,25061.61,0.13,22,8,2022-04-28,2023-07-13,2025-05-01 01:32:44.051866
91,1959-05-05,Ч,Одружений/а,Бакалавр,Київський національний університет імені Тараса Шевченка,Шериф,['Українська'],"вулиця Гонтаренко, буд. 42, Болград, 63483",пані Амалія Чумаченко,042 990 60 47,24040.96,0.07,18,1,2023-04-20,2024-11-22,2025-03-20 01:32:44.051866
92,1974-03-23,Ч,Одружений/а,Середня,Криворізький національний університет,,"['Українська', 'Польська', 'Англійська']","провулок Марка Крейна, буд. 4 кв. 689, Василівка, 53731",добродій Вадим Заїка,+380 24 687-09-44,29022.89,0.19,18,4,2021-02-10,2022-12-18,2025-05-26 01:32:44.051866
93,1960-01-24,Ч,Розлучений/а,PhD,Львівський національний медичний університет імені Данила Галицького,Пекар,['Українська'],"шосе Моторний 3-й, буд. 39, Валки, 80800",Забашта Михайлина Тарасівна,+380 32 650 34 94,62739.35,0.14,23,0,2021-05-28,2022-10-09,2025-06-15 01:32:44.051866
94,1988-08-05,Ч,Розлучений/а,PhD,Донецький національний університет імені Василя Стуса,Електрослюсар,['Німецька'],"набережна Аеропортівський 2-й, буд. 5, Жашків, 66035",Єва Цибуленко,715-03-58,20057.25,0.06,18,9,2022-01-13,2023-01-31,2025-05-30 01:32:44.051866
95,1979-01-06,Ч,Розлучений/а,Бакалавр,Національний гірничий університет,Маркетолог,"['Українська', 'Англійська']","провулок Владислава Домбровського, буд. 8 кв. 034, Київ, 52563",Засенко Світлана Віталіївна,352 74 55,22188.67,0.15,23,2,2022-06-04,2024-03-26,2025-02-12 01:32:44.052868
96,1996-09-11,Ж,Неодружений/а,Середня,Полтавський державний медичний університет,Секретар,['Українська'],"набережна Лодочний, буд. 148, Олександрія, 31567",Марко Юрчишин,684 56 18,61581.61,0.09,21,2,2024-03-28,2024-11-09,2025-04-22 01:32:44.052868
97,2004-05-03,Ч,Розлучений/а,Магістр,Тернопільський національний технічний університет імені Івана Пулюя,Футболіст,"['Польська', 'Німецька', 'Англійська']","площа Романтиків, буд. 158 кв. 01, Турка, 40856",Сергій Полтавець,+380 74 049 07 29,56140.45,0.17,24,0,2023-04-04,2023-12-07,2025-03-11 01:32:44.052868
98,1966-01-21,Ж,Розлучений/а,PhD,Харківський національний медичний університет,Психолог,"['Німецька', 'Польська', 'Українська']","проспект Середньофонтанський, буд. 827, Сватове, 07420",Володимира Кабаненко,+380 36 375-17-12,19909.62,0.06,23,5,2021-03-02,2022-11-02,2025-03-30 01:32:44.052868
99,1961-12-02,Ж,Розлучений/а,Магістр,Тернопільський національний технічний університет імені Івана Пулюя,,"['Англійська', 'Німецька']","вулиця Кобзаря, буд. 2, Мостиська, 17934",Опанасенко Олесь Микитович,+380 92 635 66 85,21795.05,0.05,21,3,2023-04-18,2023-04-28,2025-04-03 01:32:44.052868
100,2001-07-01,Ч,Неодружений/а,Бакалавр,Харківський національний педагогічний університет імені Г. С. Сковороди,Доцент,['Англійська'],"сквер 21-й км Старокиївської дороги, буд. 0, Жашків, 35241",Розалія Козак,+380 (75) 865-44-88,75683.01,0.13,23,10,2022-11-18,2023-10-17,2025-04-03 01:32:44.052868
101,1975-06-04,Ж,Неодружений/а,Бакалавр,Український державний університет залізничного транспорту,Антрополог,['Англійська'],"проспект Байдарочний, буд. 7 кв. 51, Бердичів, 13451",Євген Базилевич,049 049-91-40,26877.54,0.12,23,4,2024-10-22,2024-10-27,2025-02-19 01:32:44.053867
102,1964-09-29,Ж,Одружений/а,Магістр,Запорізький національний університет,Євнух,"['Польська', 'Англійська']","парк Сливова, буд. 34 кв. 521, Кам'янське, 67319",Людмила Червоненко,557 28 82,28995.46,0.09,19,3,2024-08-15,2024-07-05,2025-06-26 01:32:44.053867
103,1979-02-07,Ч,Розлучений/а,Бакалавр,Харківський національний педагогічний університет імені Г. С. Сковороди,Електротехнік,['Українська'],"набережна Сосюри, буд. 96, Залізне, 03281",Чуприна Емілія Лукʼянівна,064 014-86-37,78119.88,0.18,23,0,2023-07-23,2024-06-01,2025-05-24 01:32:44.053867
104,1961-11-16,Ж,Одружений/а,PhD,Київський національний університет імені Тараса Шевченка,Конструктор,"['Німецька', 'Англійська', 'Українська']","набережна Дворникова, буд. 566 кв. 650, Балта, 38641",Гук Богданна Володимирівна,+380 61 712-79-80,20193.55,0.13,20,0,2024-10-26,2024-11-03,2025-06-09 01:32:44.053867
105,1959-08-23,Ч,Неодружений/а,PhD,Харківський національний педагогічний університет імені Г. С. Сковороди,Піаніст,"['Польська', 'Українська']","узвіз Кондрашина, буд. 83, Ізюм, 90467",Єва Демʼянчук,+380 81 646-89-09,21034.32,0.13,20,9,2022-08-18,2024-03-20,2025-04-06 01:32:44.053867
106,2003-07-15,Ж,Розлучений/а,Середня,Національний авіаційний університет,,['Польська'],"шосе Середньофонтанський, буд. 1, Бориспіль, 36580",панна Мілена Оніщук,971 61 44,19042.98,0.09,20,6,2023-05-03,2024-03-07,2025-02-04 01:32:44.053867
107,1962-02-07,Ч,Одружений/а,Середня,Криворізький національний університет,Гицель,"['Польська', 'Німецька', 'Українська']","сквер Заможна, буд. 73, Златопіль, 86425",Ярослав Вітрук,+380 (09) 959-77-21,21664.55,0.14,19,3,2025-02-20,2024-11-22,2025-03-03 01:32:44.053867
108,1991-09-04,Ч,Одружений/а,Бакалавр,Львівський національний університет імені Івана Франка,Геофізик,"['Англійська', 'Українська', 'Польська']","проспект Майка Йогансена, буд. 3 кв. 7, Нове Давидково, 18868",Віра Конопленко,006 059 68 68,24699.63,0.13,23,10,2024-07-07,2024-08-02,2025-02-08 01:32:44.053867
109,1960-04-18,Ч,Неодружений/а,PhD,Донецький національний університет імені Василя Стуса,Візажист,"['Польська', 'Німецька']","вулиця Офіцерський 2-й, буд. 487, Біляївка, 60101",Аркадій Вакарчук,+380 33 082 96 16,23522.72,0.2,18,4,2024-05-21,2024-07-14,2025-03-10 01:32:44.053867
110,1984-06-28,Ж,Розлучений/а,Магістр,Івано-Франківський національний медичний університет,,"['Польська', 'Німецька']","проспект Станційна 2-га, буд. 1 кв. 29, Лозова, 36924",Дарина Дрозд,+380 96 183 21 21,19538.73,0.06,18,9,2023-05-09,2024-03-21,2025-02-27 01:32:44.053867
111,1991-06-17,Ж,Неодружений/а,Середня,Харківський національний педагогічний університет імені Г. С. Сковороди,,['Польська'],"узвіз Олександра Тимошенка, буд. 29, Новогродівка, 72573",Дарина Сиротенко,+380 33 264-41-35,20553.27,0.1,18,3,2024-01-21,2024-12-23,2025-04-09 01:32:44.054885
112,1969-08-24,Ж,Неодружений/а,Бакалавр,Дніпровський національний університет імені Олеся Гончара,Астронавт,"['Німецька', 'Польська', 'Англійська']","провулок Мельницька, буд. 93, Ніжин, 13402",пан Валентин Охримович,073 314 87 85,22045.79,0.11,18,2,2020-07-28,2020-06-23,2025-05-01 01:32:44.054885
113,1997-05-31,Ч,Розлучений/а,Середня,Тернопільський національний технічний університет імені Івана Пулюя,Менеджер,['Німецька'],"площа Капітана Кузнецова, буд. 49 кв. 21, Хутір-Михайлівський, 02418",Ліза Макогон,643-20-40,20775.07,0.19,20,9,2021-02-13,2022-08-10,2025-05-27 01:32:44.054885
114,1993-10-19,Ч,Розлучений/а,Бакалавр,Харківський національний педагогічний університет імені Г. С. Сковороди,Клоун,"['Польська', 'Англійська', 'Німецька']","сквер 1-ша Лінія Марії Демченко, буд. 53 кв. 29, Благовіщенське, 77903",Клавдія Вакарчук,027 246 75 66,22938.62,0.09,23,5,2020-10-19,2023-01-30,2025-06-08 01:32:44.054885
115,1966-11-18,Ч,Одружений/а,Бакалавр,Сумський державний університет,Намотувальник,['Українська'],"проспект Луценка Івана, буд. 529, Узин, 78974",Богодар Вітер,+380 (02) 881-67-95,32078.51,0.08,24,2,2024-01-30,2024-02-24,2025-05-10 01:32:44.054885
116,1989-07-01,Ч,Одружений/а,Середня,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,Кухар,"['Українська', 'Англійська', 'Німецька']","парк Левадна, буд. 0 кв. 376, Охтирка, 09841",Аарон Жук,824 40 42,28100.23,0.18,20,3,2020-04-10,2023-11-26,2025-06-23 01:32:44.054885
117,2004-09-14,Ж,Одружений/а,Бакалавр,Львівський національний університет імені Івана Франка,Математик,"['Польська', 'Англійська']","сквер Разумовська, буд. 933 кв. 346, Турка, 10242",Зиновій Ковалюк,+380 (37) 850-43-34,30139.57,0.06,22,8,2022-07-26,2023-07-31,2025-03-21 01:32:44.054885
118,1982-09-24,Ж,Неодружений/а,Бакалавр,Івано-Франківський національний технічний університет нафти і газу,Юрист,"['Англійська', 'Українська']","узвіз Панаса Мирного, буд. 4 кв. 9, Сорокине, 17304",Надія Бебешко,+380 76 405-57-40,25944.02,0.07,21,5,2024-04-15,2024-09-27,2025-03-03 01:32:44.054885
119,1975-11-11,Ч,Розлучений/а,Магістр,Одеський національний політехнічний університет,Графік,"['Польська', 'Англійська']","набережна Баркасний, буд. 89, Чернігів, 68768",Шеремета Володимира Леопольдівна,+380 (03) 583-99-66,20326.06,0.08,23,8,2020-11-08,2021-03-23,2025-02-17 01:32:44.055881
120,1984-10-13,Ж,Одружений/а,PhD,Вінницький національний технічний університет,Випробувач,"['Українська', 'Англійська', 'Німецька']","узвіз Василя Кандинського 3-й, буд. 8 кв. 5, Донецьк, 07509",Лукʼян Шаповал,+380 82 187 18 40,21082.89,0.15,22,4,2024-10-23,2024-10-13,2025-02-27 01:32:44.055881
121,1979-08-13,Ж,Неодружений/а,PhD,Запорізький національний університет,,['Українська'],"парк Кристаловського, буд. 03 кв. 681, Деражня, 37390",Ігнат Шамрай,186-34-81,26445.71,0.18,20,4,2024-03-11,2024-09-20,2025-02-20 01:32:44.055881
122,1982-02-23,Ч,Одружений/а,Бакалавр,Тернопільський національний медичний університет імені І.Я. Горбачевського,,"['Українська', 'Польська', 'Німецька']","проспект Приморська, буд. 8 кв. 64, Ржищів, 89702",Марина Вертипорох,+380 31 995-58-45,15343.91,0.1,18,6,2022-04-10,2023-03-24,2025-04-22 01:32:44.055881
123,1959-12-11,Ч,Одружений/а,Бакалавр,Львівська політехніка,,['Англійська'],"узвіз Морехідна, буд. 8, Корець, 58336",Марія Демʼянюк,+380 88 793-01-50,18621.73,0.19,21,5,2023-03-13,2024-10-05,2025-03-14 01:32:44.055881
124,1984-03-22,Ч,Розлучений/а,PhD,Київський національний університет імені Тараса Шевченка,Бізнесмен,"['Англійська', 'Німецька', 'Українська']","сквер Проїзний 1-й, буд. 9, Бобринець, 55623",Святослава Базилевич,+380 22 068-66-39,24437.19,0.19,23,7,2022-07-20,2023-10-03,2025-04-30 01:32:44.055881
125,2005-12-19,Ж,Одружений/а,PhD,Івано-Франківський національний медичний університет,,"['Англійська', 'Українська', 'Німецька']","парк Байгородський, буд. 128, Середина-Буда, 61580",пані Дарина Чекалюк,+380 (32) 238-87-00,24915.27,0.17,19,7,2023-11-23,2024-03-31,2025-06-21 01:32:44.055881
126,1968-09-27,Ч,Розлучений/а,PhD,Криворізький національний університет,Петрограф,"['Польська', 'Українська']","набережна Орликова, буд. 8, Новодністровськ, 15213",Василина Зубко,054 367-53-62,26185.83,0.05,21,5,2022-12-31,2024-05-20,2025-03-09 01:32:44.055881
127,1974-12-18,Ч,Розлучений/а,Бакалавр,Вінницький національний медичний університет імені М.І. Пирогова,,['Польська'],"вулиця Рівності, буд. 8 кв. 82, Арциз, 38093",Омелян Іщак,961-54-72,15512.1,0.12,21,8,2023-04-04,2024-05-29,2025-05-17 01:32:44.055881
128,1967-09-16,Ж,Розлучений/а,Середня,Національний авіаційний університет,Пекар,"['Польська', 'Німецька']","проспект Лінія 26-та, буд. 0, Коростишів, 80213",Ірена Корсун,063 692-71-26,23682.9,0.18,23,5,2021-12-03,2023-12-14,2025-02-07 01:32:44.055881
129,1970-03-02,Ч,Одружений/а,Бакалавр,Київський національний університет імені Тараса Шевченка,Слідчий,"['Німецька', 'Українська', 'Англійська']","площа Рози вітрів, буд. 38, Новогродівка, 83125",Емілія Щербань,+380 73 425-02-14,22721.88,0.12,24,10,2024-08-05,2024-10-20,2025-06-25 01:32:44.056881
130,1977-08-14,Ж,Одружений/а,Середня,Вінницький національний технічний університет,Промисловець,"['Англійська', 'Німецька', 'Українська']","парк Безіменний, буд. 1, Брянка, 28574",Ярема Вдовиченко,063 253-49-20,17262.5,0.06,23,6,2024-03-24,2024-02-17,2025-06-05 01:32:44.056881
131,1984-07-11,Ж,Розлучений/а,PhD,Херсонський державний університет,Складальник,"['Англійська', 'Українська', 'Німецька']","узвіз Миколи Плигуна, буд. 4, Сколе, 79316",Віктор Верховинець,+380 93 908-00-64,19477.89,0.12,20,0,2022-06-22,2023-05-09,2025-05-29 01:32:44.056881
132,1962-06-26,Ж,Розлучений/а,Середня,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,Драматург,"['Німецька', 'Польська', 'Українська']","проспект Суднобудівна, буд. 9 кв. 2, Молочанськ, 48718",Ростислав Артюшенко,+380 48 419-88-33,25611.8,0.08,21,7,2024-03-23,2024-04-19,2025-03-20 01:32:44.056881
133,1971-05-05,Ч,Неодружений/а,Бакалавр,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,Флорист,"['Німецька', 'Українська', 'Польська']","набережна Круговий, буд. 2, Дебальцеве, 70469",Ірена Рябовіл,037 639-60-54,24831.27,0.1,18,1,2023-05-09,2024-05-02,2025-04-01 01:32:44.056881
134,1961-04-10,Ж,Одружений/а,PhD,Київський національний університет імені Тараса Шевченка,Перекладач,"['Польська', 'Німецька']","провулок Велика Арнаутська, буд. 749 кв. 30, Федорівка, 77857",Юстина Карпенко,+380 81 500 23 46,66223.15,0.17,21,0,2021-12-06,2022-07-13,2025-03-16 01:32:44.056881
135,1979-05-28,Ж,Неодружений/а,Магістр,Харківський національний педагогічний університет імені Г. С. Сковороди,Сантехнік,['Українська'],"узвіз Бахмутська, буд. 434 кв. 044, Кам'янець-Подільський, 50877",Вадим Дзиндра,021 233-33-01,23455.58,0.08,24,7,2023-06-08,2024-06-06,2025-03-01 01:32:44.056881
136,1960-11-28,Ж,Розлучений/а,Середня,Дніпровський національний технічний університет,Сантехнік,"['Українська', 'Англійська', 'Польська']","шосе Квіткова, буд. 6, Підгайці, 58615",Петро Дейнеко,+380 (39) 436-84-82,20093.92,0.2,20,6,2022-11-24,2024-04-09,2025-03-22 01:32:44.056881
137,1985-12-20,Ж,Розлучений/а,Бакалавр,Одеський національний медичний університет,,"['Українська', 'Німецька']","проспект Молоді, буд. 151, Бахмут, 16611",Демид Рябченко,943 92 42,51163.2,0.15,18,3,2022-12-31,2023-04-30,2025-04-29 01:32:44.056881
138,1981-11-23,Ж,Неодружений/а,Бакалавр,Харківський національний педагогічний університет імені Г. С. Сковороди,,"['Німецька', 'Українська']","узвіз Самодіяльна, буд. 637, Старий Крим, 78012",Левко Іщенко,214 63 31,49580.93,0.1,18,9,2022-04-01,2024-11-02,2025-05-23 01:32:44.057880
139,2002-12-25,Ч,Неодружений/а,Бакалавр,Тернопільський національний технічний університет імені Івана Пулюя,Фізик,"['Польська', 'Англійська']","площа Осіння, буд. 260, Арциз, 53798",Ада Левченко,+380 (23) 699-59-00,71316.49,0.14,24,6,2024-05-20,2024-07-30,2025-05-10 01:32:44.057880
140,1972-08-18,Ж,Розлучений/а,PhD,Криворізький національний університет,Слідчий,"['Українська', 'Польська', 'Німецька']","сквер Лінія 54-та, буд. 74, Брянка, 56728",пані Аніта Адаменко,001 756-03-03,17916.26,0.1,20,2,2023-02-19,2023-03-14,2025-04-08 01:32:44.057880
141,1969-06-24,Ч,Розлучений/а,Магістр,Полтавський державний медичний університет,Клоун,"['Польська', 'Англійська', 'Українська']","парк узвіз Віталія Блажка, буд. 979 кв. 86, Южноукраїнськ, 08305",Нестор Данчук,068 008 91 75,25498.33,0.17,19,8,2024-04-18,2024-10-05,2025-02-27 01:32:44.057880
142,1961-04-12,Ж,Розлучений/а,Середня,Херсонський державний університет,Гицель,"['Українська', 'Німецька']","узвіз Нафтовиків 3-й, буд. 88, Городенка, 75793",Яків Гайворонський,087 077-72-99,73093.84,0.11,19,9,2023-12-10,2024-04-12,2025-04-01 01:32:44.057880
143,1986-11-21,Ж,Розлучений/а,PhD,Чернівецький національний університет імені Юрія Федьковича,,"['Німецька', 'Польська', 'Англійська']","набережна Супутників, буд. 7 кв. 733, Молочанськ, 05697",Марко Ярош,524-44-36,24881.41,0.07,18,5,2020-08-01,2022-11-21,2025-02-13 01:32:44.057880
144,1963-04-17,Ж,Розлучений/а,Магістр,Полтавський державний медичний університет,Клавішник,"['Англійська', 'Німецька']","площа Віталія Нестеренка, буд. 6 кв. 64, Ржищів, 01930",Фастенко Вікторія Назарівна,408 42 01,19554.85,0.09,19,3,2023-04-30,2024-03-17,2025-05-04 01:32:44.057880
145,1970-01-26,Ч,Одружений/а,Магістр,Вінницький національний технічний університет,Композитор,['Англійська'],"набережна Побратимів, буд. 309 кв. 152, Баштанка, 33268",Орхип Даньків,+380 (75) 268-42-23,26140.07,0.11,20,2,2025-03-03,2024-12-22,2025-05-25 01:32:44.058887
146,2006-02-05,Ж,Одружений/а,Бакалавр,Дніпровський національний технічний університет,,"['Німецька', 'Польська']","узвіз Китобійний 2-й, буд. 61, Очаків, 48647",Андрейко Богданна Святославівна,+380 65 402-63-63,21829.15,0.06,23,8,2023-02-09,2024-05-11,2025-02-05 01:32:44.058887
147,1988-10-29,Ч,Розлучений/а,PhD,Одеський національний університет імені І. І. Мечникова,Астроном,"['Українська', 'Англійська', 'Німецька']","проспект Дмитра Сигаревича, буд. 033 кв. 585, Українка, 72303",Марина Онуфрієнко,+380 33 811-70-88,25515.47,0.12,20,0,2020-10-25,2023-08-19,2025-06-25 01:32:44.058887
148,1997-12-20,Ч,Одружений/а,Магістр,Тернопільський національний технічний університет імені Івана Пулюя,Астронавт,['Польська'],"провулок Отрадна, буд. 33 кв. 52, Авдіївка, 69230",Алевтин Дашенко,087 567-30-24,23943.13,0.14,18,2,2023-10-14,2024-04-26,2025-05-13 01:32:44.058887
149,1988-07-16,Ч,Одружений/а,Бакалавр,Тернопільський національний технічний університет імені Івана Пулюя,,"['Українська', 'Польська']","провулок Демократична, буд. 480, Верхньодніпровськ, 21631",Вікторія Заєць,+380 (08) 074-90-91,24760.75,0.18,24,8,2022-04-10,2023-07-21,2025-04-26 01:32:44.058887
150,1975-01-08,Ж,Неодружений/а,Бакалавр,Львівський національний університет імені Івана Франка,Кухар,['Українська'],"площа Лінійний, буд. 8 кв. 96, Новодністровськ, 34462",Негода Онисим Єфремович,+380 64 234-51-77,17025.37,0.19,22,10,2022-09-24,2024-05-21,2025-02-25 01:32:44.058887
151,1974-01-11,Ч,Розлучений/а,Магістр,Чернівецький національний університет імені Юрія Федьковича,,['Українська'],"провулок Лютневий 1-й, буд. 501, Герца, 90893",Емілія Ватаманюк,856-30-63,15151.85,0.11,24,2,2021-03-03,2023-01-14,2025-05-10 01:32:44.058887
152,1998-03-29,Ж,Одружений/а,PhD,Харківський національний педагогічний університет імені Г. С. Сковороди,Програміст,"['Англійська', 'Польська', 'Німецька']","провулок Педагогічний, буд. 9 кв. 932, Корюківка, 47139",Аліна Ірванець,+380 75 752-94-86,15226.72,0.13,24,10,2024-09-27,2024-11-05,2025-05-07 01:32:44.058887
153,2003-07-29,Ч,Одружений/а,Середня,Український державний університет залізничного транспорту,Паблік рилейшнз,"['Німецька', 'Англійська']","площа П'ята, буд. 8, Мирноград, 82823",Одарка Дутка,+380 14 026-92-62,45791.4,0.05,18,0,2024-09-30,2024-08-24,2025-04-15 01:32:44.058887
154,1993-04-04,Ч,Розлучений/а,PhD,Івано-Франківський національний медичний університет,Електромонтер,['Англійська'],"вулиця Казковий, буд. 6 кв. 663, Соледар, 22163",Галина Єрченко,+380 60 452-31-41,26054.83,0.17,22,6,2024-11-09,2024-12-21,2025-05-26 01:32:44.059903
155,1971-02-14,Ч,Неодружений/а,Середня,Харківський національний медичний університет,,"['Англійська', 'Польська', 'Українська']","узвіз Республіканська, буд. 3, Донецьк, 11904",Вітрук Одарка Віталіївна,035 153-37-51,20847.0,0.16,18,0,2022-03-29,2022-02-06,2025-06-13 01:32:44.059903
156,1995-02-11,Ч,Одружений/а,PhD,Харківський національний медичний університет,Філолог,"['Польська', 'Німецька', 'Англійська']","набережна Молокова, буд. 402, Васильків, 97455",Сніжана Їжак,+380 49 275 60 38,26777.1,0.15,18,10,2020-12-23,2024-09-05,2025-05-12 01:32:44.059903
157,1977-10-25,Ч,Розлучений/а,Середня,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,,"['Англійська', 'Українська', 'Польська']","сквер Миколи Міхновського, буд. 32, Лиман, 76976",Пармен Чуприна,+380 30 943-86-41,24193.06,0.06,22,0,2025-03-28,2024-12-30,2025-04-30 01:32:44.059903
158,1988-08-07,Ч,Неодружений/а,PhD,Полтавський державний медичний університет,Каскадер,['Польська'],"парк Заводська 3-тя, буд. 355, Вовчанськ, 13196",Юхим Ткаченко,+380 (98) 742-14-35,75154.68,0.11,18,5,2022-04-06,2023-03-02,2025-06-04 01:32:44.059903
159,1967-06-16,Ч,Одружений/а,Середня,Івано-Франківський національний технічний університет нафти і газу,М'ясник,['Польська'],"площа 2-га Лінія 4-ї ст. Люстдорфської дороги, буд. 350, Борислав, 17817",пан Амвросій Щербак,+380 30 645-92-18,26047.15,0.07,21,5,2022-03-09,2023-08-30,2025-05-17 01:32:44.059903
160,2001-02-11,Ч,Одружений/а,Середня,Харківський національний педагогічний університет імені Г. С. Сковороди,Краєзнавець,"['Німецька', 'Польська']","узвіз Промислова, буд. 3, Южноукраїнськ, 04547",Аніта Бандура,008 850-59-09,72560.07,0.11,19,1,2025-03-02,2024-12-30,2025-02-09 01:32:44.059903
161,2004-03-27,Ч,Неодружений/а,Бакалавр,Вінницький національний медичний університет імені М.І. Пирогова,,['Німецька'],"провулок Скрипковий, буд. 1 кв. 32, Костянтинівка, 60576",Трохим Гуцуляк,089 333 71 74,21340.53,0.19,20,5,2025-03-23,2024-12-29,2025-06-01 01:32:44.059903
162,1990-05-13,Ж,Одружений/а,Бакалавр,Харківський національний педагогічний університет імені Г. С. Сковороди,,"['Англійська', 'Польська', 'Українська']","площа Аеропортівський 1-й, буд. 76, Верхньодніпровськ, 42474",Ярина Затула,402-81-75,22052.92,0.15,20,10,2025-03-23,2024-12-28,2025-02-16 01:32:44.059903
163,1996-08-30,Ж,Одружений/а,Магістр,Дніпровський національний технічний університет,Клавішник,"['Польська', 'Англійська']","площа Будівельний, буд. 3 кв. 81, Броди, 11059",Камілла Бабак,056 645 85 92,25313.01,0.14,23,6,2020-12-14,2022-03-06,2025-05-03 01:32:44.059903
164,2004-10-06,Ч,Неодружений/а,Магістр,Одеський національний медичний університет,Кінорежисер,['Українська'],"вулиця Промисловий, буд. 881, Шахтарське, 69019",Роксолана Бабій,126 54 87,17090.04,0.07,23,9,2025-03-02,2024-12-24,2025-03-31 01:32:44.060902
165,1961-12-10,Ж,Неодружений/а,PhD,Львівський національний університет імені Івана Франка,Кушнір,"['Англійська', 'Німецька']","узвіз Академіка Сахарова, буд. 702 кв. 17, Часів Яр, 15098",Феофан Ємельяненко,+380 52 100 57 43,15007.96,0.09,24,0,2021-09-18,2021-10-22,2025-06-07 01:32:44.060902
166,1985-07-28,Ж,Розлучений/а,PhD,Вінницький національний технічний університет,Антрополог,['Англійська'],"сквер Житомирський 3-й, буд. 07 кв. 08, Бобровиця, 82684",Алла Панчук,341-87-16,27176.89,0.05,21,10,2023-05-25,2024-10-23,2025-05-25 01:32:44.060902
167,1965-10-02,Ж,Розлучений/а,Бакалавр,Тернопільський національний медичний університет імені І.Я. Горбачевського,Головний меркшейдер,['Англійська'],"шосе Штильова, буд. 6 кв. 035, Бердичів, 49282",Соломон Адаменко,578-37-69,46610.55,0.15,23,7,2021-02-16,2023-06-14,2025-03-22 01:32:44.060902
168,2005-10-02,Ж,Розлучений/а,Середня,Харківський національний медичний університет,Дизайнер,['Англійська'],"провулок Косовський, буд. 58 кв. 4, Буча, 27175",Аніта Павлик,+380 04 196 07 67,26378.0,0.18,22,6,2023-06-26,2024-09-16,2025-03-28 01:32:44.060902
169,2002-11-25,Ч,Неодружений/а,Середня,Харківський національний медичний університет,,['Німецька'],"набережна Хаджибейський 1-й, буд. 80, Скадовськ, 12960",Прохір Василашко,987-68-44,20594.31,0.11,21,3,2025-01-03,2024-12-29,2025-04-06 01:32:44.060902
170,1960-06-25,Ч,Розлучений/а,PhD,Дніпровський національний університет імені Олеся Гончара,,['Польська'],"шосе Лиманчик 2-й Лінія 9-та, буд. 46 кв. 4, Дубно, 06667",Жайворон Роман Яремович,050 388-67-01,79161.0,0.19,23,1,2020-07-18,2023-12-20,2025-02-12 01:32:44.060902
171,1976-08-20,Ч,Неодружений/а,PhD,Дніпровський національний технічний університет,Фольклорист,['Німецька'],"площа Чумацька, буд. 951 кв. 809, Борщів, 86656",Клавдія Перепелиця,+380 81 151 20 70,25579.63,0.13,18,9,2022-10-28,2024-04-28,2025-04-04 01:32:44.060902
172,2006-01-19,Ч,Неодружений/а,Бакалавр,Львівська політехніка,Мовознавець,"['Польська', 'Німецька', 'Українська']","проспект Леха Качинського, буд. 14 кв. 46, Армянськ, 66950",Ярослава Шморгун,+380 (79) 655-87-44,21746.76,0.05,21,3,2024-10-07,2024-11-16,2025-04-11 01:32:44.060902
173,1991-11-03,Ч,Одружений/а,PhD,Івано-Франківський національний медичний університет,Програміст,['Польська'],"площа Косовська, буд. 5 кв. 237, Сарни, 56515",Юстина Дубенко,098 091-91-69,28716.66,0.12,24,10,2022-06-06,2022-08-15,2025-03-15 01:32:44.061907
174,2002-12-09,Ж,Одружений/а,PhD,Харківський національний педагогічний університет імені Г. С. Сковороди,Письменник,"['Польська', 'Українська']","сквер Колонтаївська, буд. 8 кв. 68, Токмак, 99570",Опанас Карпа,033 028-00-81,15684.48,0.12,20,8,2020-04-20,2024-02-16,2025-03-27 01:32:44.061907
175,1970-09-29,Ч,Розлучений/а,Середня,Івано-Франківський національний медичний університет,Випробувач,"['Англійська', 'Українська', 'Польська']","шосе Тракторна, буд. 234 кв. 32, Андрушівка, 77960",Клавдія Башполченко,665-51-92,42865.51,0.11,22,7,2023-04-06,2024-11-16,2025-06-19 01:32:44.061907
176,1989-05-07,Ч,Розлучений/а,Середня,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,,"['Польська', 'Українська', 'Німецька']","шосе Олександра Білостінного, буд. 69 кв. 1, Сімферополь, 31934",пані Наталія Петренко,840 17 99,21153.36,0.1,22,2,2021-05-26,2023-10-02,2025-03-16 01:32:44.062869
177,1973-02-11,Ч,Розлучений/а,Середня,Одеський національний університет імені І. І. Мечникова,Прокурор,"['Німецька', 'Українська']","вулиця Вертелецького, буд. 6 кв. 761, Снятин, 85524",Марина Василечко,419-43-60,25154.27,0.16,20,2,2023-05-31,2024-12-30,2025-03-02 01:32:44.062869
178,1979-12-11,Ч,Неодружений/а,Магістр,Вінницький національний технічний університет,Детектив,"['Польська', 'Німецька', 'Українська']","узвіз Грузинська, буд. 6 кв. 4, Торецьк, 63755",Богданна Верменич,+380 56 209-48-73,76505.05,0.11,23,7,2021-08-14,2023-08-06,2025-04-25 01:32:44.062869
