application_id,vacancy_id,candidate_name,email,phone,current_position,current_company,current_salary,expected_salary,experience_years,education_level,application_date,status,interview_date,feedback,source
108,9,пан Лукʼян Андрусенко,vyshniakerika@example.org,704 19 40,Гірничий інженер,Рубець PLC,37164.65,42131.62,2,Бакалавр,2024-10-05,Відхилено,2024-10-14,"Паща заспокоїтися затримати похмуро. Редактор князь один правильний виднітися увійти.
Лівий о епоха банк. Нарада медицина розуміти сміття правий мета.",Інше
109,74,Панас Жученко,khrystynaneporozhnii@example.org,+380 (60) 249-72-36,Інженер,Вітер-Гавриш,28295.19,33424.35,14,Бакалавр,2023-12-31,Нова,,,Рекомендація
110,45,Адам Худобʼяк,yprykhodko@example.com,+380 87 548-41-96,Намотувальник,Сацюк Inc,14569.56,18506.33,12,Магістр,2023-09-13,Співбесіда,2023-09-25,,Інше
111,90,Леонід Теличенко,tsushkoalbert@example.com,091 780 09 94,Художник,"Гавришкевич, Скирда and Захарченко",10847.06,12122.56,9,Магістр,2024-01-01,Розглядається,,,LinkedIn
112,58,Алевтин Швачка,azar71@example.org,025 700 41 24,Сценарист,Засенко-Шведченко,40952.04,54304.72,15,Бакалавр,2024-08-26,Прийнято,2024-09-02,Відповісти головний порівняння кордон плід труп. Летіти синок ніч господь можливо. Дрімати безглуздий хліб порода направо відзначити.,Інше
113,32,Семен Хоменко,mariiahuz@example.org,+380 68 697-98-25,Євнух,Дергач-Кабалюк,43606.04,52433.56,8,PhD,2024-10-01,Нова,,,Сайт компанії
114,81,Ірена Колесниченко,teodordanchenko@example.net,035 690 87 79,Стоматолог,Андрощук PLC,17334.46,19791.4,0,PhD,2024-08-15,Прийнято,2024-08-24,"Домогтися колишній підземний. Боєць квапливий дрімати конструкція пісенька. Бажання бігати сумнівний.
Незвичний бочок прихований. Колектив солома ягода мати домогтися.",Інше
115,46,Давид Засенко,viacheslav43@example.org,886 61 17,Живописець,Вернидуб Ltd,45105.11,55494.06,11,Бакалавр,2024-01-03,Нова,,,LinkedIn
116,90,Азар Стельмах,liliia87@example.com,033 085 51 12,Петрограф,Баранник LLC,36713.37,43714.82,9,Середня,2024-10-31,Пропозиція,2024-11-14,"Ремінь спасти прохід потягнутися. Їжа ягода район настати простір порода.
Тисяча присісти потрясти червень полум'я актриса чотири блискучий. Спосіб низький настати космос вказаний.",Work.ua
117,55,Георгій Макогон,liudmylaustenko@example.com,652 75 53,Письменник,Пʼятаченко-Микитюк,44053.06,58082.69,7,PhD,2024-05-16,Відхилено,2024-05-29,"Іспит оборот монета заплакати ліхтарик. Заява ґаздиня багряний тривога. Монета ефект низький надати.
Нарада вітрина витягувати ліхтарик сходити що-небудь керівник.",LinkedIn
118,5,Златослава Міщенко,sshakhrai@example.com,175 43 94,Візажист,Забіла Ltd,46016.55,55591.38,11,Магістр,2024-12-22,Нова,,,LinkedIn
119,86,Олександр Вернидуб,daryna27@example.com,078 423 59 74,Реабілітолог,Сацюк-Вакарчук,10759.73,11994.77,9,Середня,2023-08-20,Співбесіда,2023-09-02,,Сайт компанії
120,33,Ганна Чорновіл,lskorobohatko@example.net,748 13 98,Менеджер,"Дацюк, Пʼятаченко and Заїка",29122.61,37117.66,4,Бакалавр,2024-03-18,Співбесіда,2024-03-26,,Work.ua
121,11,Хома Дрозд,tvivcharenko@example.net,558 30 27,Геофізик,Андрійович Inc,27851.91,33730.74,4,PhD,2024-11-10,Прийнято,2024-11-20,"Встати бригада епоха мʼята подробиця ґазда. Навіщо робочий похорон.
Роса почуття падати ліворуч юний мільярд. Виражений потягнутися порівняння лівий.",LinkedIn
122,49,пані Ліза Алексеєнко,iaremavasyl@example.org,784-23-55,Головний меркшейдер,Батуринець Group,33422.98,49898.22,14,Бакалавр,2024-10-10,Відхилено,2024-10-14,Другий ґаздиня дружно. Падати паща вчора іспит висіти. Почуття товар знімати самостійно страта.,Сайт компанії
123,80,Кирило Василечко,ieroshenkolukian@example.org,+380 18 023-82-35,Модель,Гриценко-Єрьоменко,37484.52,51085.66,13,Бакалавр,2024-11-27,Нова,,,LinkedIn
124,63,Ємець Леон Демʼянович,ostap86@example.com,477-98-17,Режисер,"Артюшенко, Гайворонська and Іщак",22615.18,25649.82,14,PhD,2024-05-23,Нова,,,Сайт компанії
125,24,Зорян Самойленко,ezabashta@example.com,082 92 16,Астрофізик,"Сиротенко, Гаврилець and Тимченко",12430.56,15825.85,1,Магістр,2023-10-17,Співбесіда,2023-10-25,,LinkedIn
126,84,Самойленко Леонід Алевтинович,prymachenkovioletta@example.org,006 440 70 41,Художник,Усик Inc,21086.13,26130.38,13,Магістр,2023-11-20,Нова,,,Сайт компанії
127,81,Владислав Бабʼюк,zakhar25@example.org,+380 (74) 000-19-71,Адвокат,"Олійник, Копитко and Вобла",39439.53,53456.67,2,Бакалавр,2024-10-06,Прийнято,2024-10-20,"Результат кордон пробувати секунда.
Бажання нервово здалеку житель. Струмок який при легко рідкий. Боєць матерія правління виблискувати. Покинути незручно порада образа вчора.",LinkedIn
128,5,Зорян Баран,lesykanastasiia@example.com,039 153-53-57,Модельєр,Жук-Ткач,21571.36,26752.45,13,Середня,2024-11-06,Співбесіда,2024-11-19,,Сайт компанії
129,100,Тетяна Гречаник,aleksiukazar@example.com,+380 51 475-78-15,Паралегал,Рябовіл and Sons,24981.81,29442.11,13,Бакалавр,2024-07-08,Співбесіда,2024-07-13,,Інше
130,2,Аркадій Юхименко,chuikoolha@example.org,056 327 48 03,Краєзнавець,"Вахній, Хорішко and Ющенко",41595.46,53067.86,7,Бакалавр,2024-09-16,Розглядається,,,Сайт компанії
131,6,Маруся Гайворонська,stefan50@example.org,054 558-13-72,Громадський діяч,"Євдокименко, Кабаненко and Бандурка",37600.22,55295.23,8,Бакалавр,2023-11-09,Співбесіда,2023-11-20,,Інше
132,89,пан Аарон Яценко,spas84@example.com,+380 89 286-09-91,Паралегал,Артюх LLC,49190.66,58913.8,7,Середня,2024-03-30,Нова,,,Work.ua
133,7,Марина Юхименко,haidaburaamaliia@example.net,+380 76 325-27-01,Електромонтер,Ґереґа Inc,11559.81,16659.72,9,PhD,2024-09-16,Прийнято,2024-09-27,"Аналіз правління порівняння дошлий. Синок кордон новий камінчик низький. Танцювати падаль розвернутися.
Здригнутися метал синок болото при запустити. Кишеня гараж робочий темніти розгубитися.",LinkedIn
134,3,Ірина Аронець,korsunhavrylo@example.net,860-16-97,Головний меркшейдер,Шинкаренко PLC,21922.45,28268.06,3,Середня,2024-12-04,Відхилено,2024-12-12,"Недолік торгівля робочий гіркий багряний пристрій.
Жити зміна падаль. Тютюн купа пірʼя факультет гуляти направо метал.
Виникнення хотіти монета торгівля кордон вітати свіжий.",Work.ua
135,62,Лілія Носаченко,utsymbal@example.net,254-12-93,Режисер,"Дурдинець, Рубець and Якименко",35048.1,49310.76,2,Середня,2023-04-09,Відхилено,2023-04-23,"Коваль результат бак знімати знімати співрозмовник. Гуляти мимо більше радити єврейський.
Пастух військовий тута розвернутися метелик. Голубчик висіти квапливий неправда.",Рекомендація
136,92,Болеслав Худобʼяк,orysia12@example.com,+380 02 886-25-44,Літературознавець,"Дацюк, Саєнко and Цимбалюк",21713.87,28449.71,1,Середня,2024-08-13,Відхилено,2024-08-27,Адвокат безглуздий податковий. Голубчик різноманітний наполегливо нині. Ідея відділ щур художній безпорадний занадто приятель досліджено.,Сайт компанії
137,56,Ольга Олійник,pvashchenko@example.net,092 72 48,Професор,Вівчаренко and Sons,28314.67,31383.76,2,PhD,2024-10-27,Пропозиція,2024-10-31,Підкинути написати означати м'який ковзати бак. Деякий ніж порівняння незручно мʼята бак сумний вітрина.,Інше
138,26,Щербак Віктор Орестович,uchornovil@example.com,+380 01 507-17-18,Інженер,"Євтушок, Засенко and Охримович",11723.49,15925.99,5,PhD,2024-12-04,Розглядається,,,Work.ua
139,37,Тимофій Данченко,iustyna92@example.net,721 19 95,Геофізик,"Симоненко, Дейнека and Зінкевич",30030.88,36528.93,3,PhD,2024-04-28,Співбесіда,2024-05-05,,Сайт компанії
140,86,Дацюк Ростислав Пантелеймонович,nazar74@example.net,024 317-31-72,Електротехнік,"Бабиченко, Уманець and Бабʼяк",34338.8,50689.4,11,Середня,2023-02-06,Розглядається,,,Інше
141,51,Лариса Даценко,lsemenchenko@example.com,097 816-71-34,Антрополог,"Червоненко, Харченко and Устенко",20156.66,28264.22,6,PhD,2024-06-12,Відхилено,2024-06-22,Щур прелесть так коваль команда гіркий. Тьмяний близько розстебнути видимо терапія щур неправда. За що пристойний ремінь правління палиця боєць.,Work.ua
142,81,Яків Бабʼюк,snizhanahodunok@example.net,+380 (07) 598-73-38,Гінеколог,"Гаврюшенко, Романчук and Корж",23358.15,30272.2,9,Магістр,2024-10-17,Прийнято,2024-10-29,"Ґудзик бок секунда жити. Конструкція кордон олівець сміятися мигнути. Вечір зміна триста знімати пристрій вчений робочий.
Військовий п'ятеро благати потягнутися.",LinkedIn
143,94,Ілля Андрієнко,habelkoanita@example.org,093 273 08 93,Філолог,"Цибуленко, Арсенич and Шаблій",12216.2,13823.87,11,Магістр,2024-07-05,Відхилено,2024-07-11,Другий більше о міркування плавно брову. Підлога заспокоїтися банда збільшуватися реклама. Співрозмовник народ прем'єра пристойний труп загроза художній.,Сайт компанії
144,16,Олег Данчук,kabanenkoliza@example.com,+380 (53) 274-47-72,Фермер,Александренко-Ковалюк,23627.65,34367.93,3,Бакалавр,2024-10-31,Співбесіда,2024-11-12,,Рекомендація
145,80,Прохір Мамчур,martyn44@example.org,864-54-08,Головний меркшейдер,Яремчук-Назаренко,17268.02,20685.45,5,Середня,2024-10-24,Прийнято,2024-11-01,Конструкція черговий правий упор присісти лягати триста головка. Звільнення що-небудь суглоб ремінь коробка. Видимо падаль важливий наштовхнутися.,Рекомендація
146,55,Емілія Павличенко,saliioksana@example.com,040 603-80-19,Акушер,"Самойленко, Литвиненко and Бабенко",48287.91,55544.63,5,Бакалавр,2024-06-10,Пропозиція,2024-06-18,Незручно лягати вітрина знищення. Загроза реклама помовчати синок коробка. Промовчати пропаганда сміливий порт вперед дошлий.,LinkedIn
147,50,Назар Баран,jsvyrydenko@example.org,+380 07 912 41 33,Етнограф,Дараган-Дейнеко,41783.73,52191.32,9,Магістр,2023-10-31,Співбесіда,2023-11-07,,LinkedIn
148,93,Клавдія Демʼяненко,alevtynsvyrydenko@example.com,321 13 24,Географ,Чарниш-Шахрай,44601.74,64970.43,1,Середня,2023-12-11,Прийнято,2023-12-20,Природний редактор заспівати навряд болото. Процес прелесть блискучий прохід. Співрозмовник триста запустити передо гіркий райком боєць. Потім серйозний чоловічок один.,LinkedIn
149,35,Дарина Охріменко,prebryk@example.net,+380 45 771-59-89,Паблік рилейшнз,"Скорик, Забашта and Єременко",14628.2,16152.6,15,Середня,2024-01-23,Прийнято,2024-01-27,"Танцювати безглуздий вовк пані зміна сходити. Пропадати наполегливо ліворуч основа страта.
Плід природа червень перетнути. Співати упустити ніч актриса щур перебивати.",LinkedIn
150,62,Ганна Дахно,wzaporozhets@example.org,+380 (48) 565-63-67,Будник,"Лаба, Ємельяненко and Алексюк",24653.68,32335.67,15,Середня,2023-07-14,Розглядається,,,Інше
151,93,Єлисей Зарудний,nataliia98@example.com,034 845 85 03,Сценарист,"Чумак, Ґоляш and Хмара",17449.05,20886.14,5,Магістр,2024-05-19,Прийнято,2024-05-30,Дрібниця голубчик страта. Зупинити страта доба податковий упустити даль. Чітко лівий природний свіжий можливо пісня заплакати вираз.,LinkedIn
152,78,Олесь Василашко,markovasylevych@example.org,072 185 05 98,Соціолог,"Мірошниченко, Фартушняк and Дейнека",35576.69,52697.03,3,Середня,2024-07-19,Пропозиція,2024-07-27,Конструкція інструкція мить їжа нервово бригада протягувати. Прем'Єра знаходити викинути пірʼя ліхтарик.,Інше
153,60,Ростислав Мазепа,franchukokhrim@example.net,066 124-61-31,Паралегал,Гунько-Верменич,13900.8,17978.53,0,Магістр,2024-12-24,Нова,,,LinkedIn
154,89,Омелян Рубан,viktoriiabaidak@example.net,+380 (34) 928-03-04,Провізор,Шухевич-Баран,30032.83,37842.38,0,PhD,2024-06-09,Відхилено,2024-06-14,Міф хід тьмяний прірва пробувати запустити ленінград зрідка. Провінція упор брову спорт прелесть крутий.,LinkedIn
155,52,пан Орест Якимчук,nazar42@example.net,239-73-34,Кінокритик,"Романець, Кальченко and Приймак",30109.45,37674.42,4,Бакалавр,2024-07-23,Співбесіда,2024-07-26,,Інше
156,60,Валерій Скоробогатько,davyd50@example.com,612 54 28,Фольклорист,Карпенко PLC,46733.25,67928.75,11,Магістр,2024-12-20,Розглядається,,,LinkedIn
157,67,Варвара Тесля,nazarbashtan@example.net,+380 65 030 20 09,Дипломат,Асаула LLC,22039.88,29771.25,4,Середня,2024-03-04,Співбесіда,2024-03-08,,LinkedIn
158,15,Дутка Світлана Венедиктівна,lvertyporokh@example.net,+380 77 791-32-01,Композитор,"Ґереґа, Шутько and Скоробогатько",20209.36,28444.04,13,Бакалавр,2024-12-08,Відхилено,2024-12-20,"Відповісти ліхтарик безпорадний прихований вскакивать. Червонй аналіз розкішний здалеку космос комунізм написати.
Занадто домогтися зміна. Можливо струмок раніше витримати скинути.",Рекомендація
159,80,Оксана Деряжна,tsiupaalbina@example.net,054 115-59-38,Будник,"Цибуленко, Карась and Зарудний",22480.84,30229.2,13,Магістр,2024-11-06,Розглядається,,,Інше
160,18,Соломія Черненко,shtepaliza@example.org,041 919 86 95,Хімік,Стельмах Group,13627.84,16080.56,12,Середня,2023-12-08,Прийнято,2023-12-15,"Суглоб пристойний нині закласти що-небудь. Перетнути навряд зрідка.
Єдиний розвернутися недолік ідея полум'я вовк. Підкинути потім вовк вигнати число настати провал дівка.",Сайт компанії
161,15,Тетяна Жук,iustym51@example.com,050 758-45-57,Провізор,Стельмах-Заруба,23343.16,30617.46,15,Середня,2024-11-03,Співбесіда,2024-11-10,,Інше
162,72,Владислав Шамрай,petroshamrai@example.net,+380 86 278 56 58,Електротехнік,Самойленко PLC,32202.59,39679.36,7,Магістр,2024-03-27,Відхилено,2024-04-02,Вмирати поїзд трубка поріг термін червень. Природний сумний подробиця очко мʼята зміна картинка. Теорія боєць монета простір лапа народ. Князь картинка падати їжа так підкинути незвичний вперед.,LinkedIn
163,81,Шморгун Костянтин Устимович,levko98@example.net,+380 83 961 32 92,Мистецтвознавець,"Андрейко, Іщенко and Дубас",31658.11,41886.25,15,PhD,2024-08-23,Співбесіда,2024-09-05,,Рекомендація
164,12,Тригуб Аврелій Омелянович,zynovii11@example.org,+380 95 507 51 19,Ґрунтознавець,Шинкаренко LLC,27589.9,38640.71,10,Магістр,2024-07-06,Пропозиція,2024-07-10,"Правління підлога заробити.
Спосіб різноманітний палиця мати. Конференція медицина вітрина присісти тривога зелений. Вітрина щось кишеня протягувати.",Рекомендація
165,40,Микита Базилевський,charnyshklavdiia@example.com,+380 19 318-21-00,Мірошник,Шведченко PLC,42225.57,58630.06,10,Магістр,2024-08-14,Відхилено,2024-08-24,"Блін реклама терапія монета висіти кора радити. Бігати роса палиця гуляти дошлий.
Вибирати підземний іспит призначити. Здригнутися поїзд наполегливо видимо століття природний.",Сайт компанії
166,26,Лілія Токар,irvanetsvalentyn@example.com,+380 (52) 264-67-45,Агроном,Лисенко LLC,37855.14,53663.46,1,Магістр,2024-12-29,Нова,,,LinkedIn
167,49,Ярина Полтавець,mariana12@example.com,+380 (20) 382-25-29,Сценарист,"Аверченко, Гук and Деревʼянко",39392.58,56646.44,15,Бакалавр,2024-10-29,Відхилено,2024-11-06,Супроводжуватися упор кора падати. Затримати потім спасти виражений. Інший неправда плід бетонний поїзд юний кора.,Сайт компанії
168,84,Орина Бабенко,kostiantynzaichenko@example.net,+380 (86) 284-67-22,Електромонтер,Хорішко PLC,46265.99,56323.42,10,Бакалавр,2023-12-29,Нова,,,Work.ua
169,97,Теодор Піддубний,ustym70@example.com,887 80 41,Ді-джей,Тригуб Group,37503.89,41753.38,14,Середня,2024-09-21,Нова,,,Сайт компанії
170,76,Малишко Михайло Григорійович,nazar38@example.org,054 672-41-53,Сантехнік,Вітер Group,45061.95,50471.41,9,Магістр,2024-06-16,Пропозиція,2024-06-20,"Квапливий валюта монета вечір дівка рішення адже болісно. Забирати білизна черговий другий господь.
Рот болісно суглоб знімати.",Рекомендація
171,54,пані Аліна Лазаренко,sachenkovarvara@example.net,093 230 02 69,Зоолог,Дубина Inc,36121.72,44921.86,11,PhD,2024-12-15,Розглядається,,,Інше
172,36,Петро Канівець,nestaikovalentyna@example.net,+380 (58) 577-21-58,Кінолог,"Василенко, Пʼятаченко and Оніщук",35553.08,51459.18,14,Середня,2024-10-06,Розглядається,,,Work.ua
173,70,добродійка Святослава Чередник,wbevzenko@example.net,071 997-53-23,Дантист,Рябець-Скопенко,48220.52,65040.38,6,PhD,2024-05-31,Нова,,,LinkedIn
174,46,Карась Тимофій Васильович,teslenkoanton@example.com,001 199 18 50,Співак,"Гаврюшенко, Гузенко and Щербань",45940.49,66179.3,2,Середня,2024-01-26,Розглядається,,,Інше
175,13,Едита Гайденко,thavrysh@example.com,+380 15 209 73 90,Головний меркшейдер,Ільєнко-Швачка,46840.49,62675.69,7,Середня,2024-05-24,Нова,,,Work.ua
176,18,Богданна Вертипорох,npanchuk@example.com,+380 36 232-13-41,Мінералог,Абраменко-Чекалюк,34878.14,49809.85,0,PhD,2023-09-30,Пропозиція,2023-10-14,Помовчати прошепотіти труп матерія другий гараж занадто. Результат пісенька в'язниця функція щур призначити. Ліхтарик зате услати поріг дрімати пропадати закласти.,LinkedIn
177,78,Клавдія Литвиненко,spasdemianchuk@example.com,017 090-87-34,Диригент,Щербань Inc,40798.85,59853.73,7,PhD,2024-07-13,Співбесіда,2024-07-21,,Сайт компанії
178,1,Оксана Даценко,kyrylenkohalyna@example.org,+380 65 356-97-82,Мірошник,Гузенко-Ірванець,19401.96,22604.65,13,Магістр,2024-07-14,Співбесіда,2024-07-23,,Сайт компанії
179,24,пан Леон Дубина,syrotenkoherman@example.net,244-67-79,Головний меркшейдер,Товстоліс-Саченко,17010.55,25417.06,11,Магістр,2024-01-17,Співбесіда,2024-01-26,,LinkedIn
180,1,Володимира Бандера,rbalaban@example.org,059 244 09 73,Ветеринар,Примаченко-Матвієнко,28391.99,34034.06,12,PhD,2024-10-06,Нова,,,Рекомендація
181,55,Теодор Адамчук,oksana11@example.org,012 575-64-82,Будник,Штепа Ltd,31878.29,45558.84,4,PhD,2024-06-01,Співбесіда,2024-06-04,,Рекомендація
182,85,Пріска Дзюба,rostyslav13@example.org,+380 80 119-03-31,Кур'єр,"Полтавець, Супруненко and Василечко",46734.94,61837.72,13,PhD,2024-06-02,Розглядається,,,Рекомендація
183,37,Владислав Башполченко,ddatsiuk@example.com,+380 (42) 168-43-49,Публіцист,Тригуб Inc,32260.06,45066.87,11,Магістр,2024-10-30,Пропозиція,2024-11-09,Теорія князь світило число монета дихання. Єврейський вперед програміст. Століття ремінь пристрасть хліб ліворуч.,LinkedIn
184,24,Хома Жаліло,arsen41@example.org,+380 47 809-06-16,Штукатур,Вахній-Гречаник,38741.2,46137.45,4,Магістр,2023-08-17,Розглядається,,,Інше
185,99,Степан Гречко,hlib38@example.net,022 943 06 68,Фотограф,Вакарчук-Захарченко,30421.63,33671.07,1,Магістр,2024-10-28,Співбесіда,2024-11-02,,Рекомендація
186,50,Анастасія Козаченко,ada90@example.net,+380 32 942-20-51,Ді-джей,Даниленко LLC,18542.85,20735.49,15,Середня,2024-03-09,Нова,,,Сайт компанії
187,42,Ліза Макогон,ruslan47@example.net,+380 62 170-09-67,Ґрунтознавець,Рудик-Твердохліб,33743.3,39364.53,5,Середня,2023-10-28,Нова,,,Work.ua
188,38,Пріска Бевз,valeriibabko@example.org,+380 60 406-05-72,Провізор,Гавриленко LLC,23241.5,29119.85,15,Магістр,2024-09-24,Розглядається,,,Сайт компанії
189,41,Штокало Павло Хомович,uivanychuk@example.net,884-08-76,Ювелір,"Корпанюк, Демʼяненко and Гайда",34135.56,44500.61,15,Середня,2023-12-03,Нова,,,LinkedIn
190,39,Олег Зінкевич,matviienkodavyd@example.org,028 307 86 82,Сценарист,"Чабан, Данькевич and Малик",28284.9,35567.75,11,Бакалавр,2024-09-18,Нова,,,Сайт компанії
191,42,Ольга Сагаль,edrobakha@example.com,+380 (46) 070-51-73,Дипломат,Демʼяненко and Sons,10944.95,15557.46,7,Бакалавр,2023-10-21,Відхилено,2023-11-04,Нарада каюта основа дрібниця адвокат світило командувач услати. При більше єврейський заплакати друкувати плавно.,Сайт компанії
192,98,Віталій Акименко,daronets@example.com,626 86 06,Фотограф,Данилюк-Гайдамака,37811.55,54847.47,3,Магістр,2024-11-23,Прийнято,2024-12-03,Світило камінчик збільшуватися результат пані число дихання поїзд. Художній танцювати монета вказаний крутий крутий функція.,LinkedIn
193,52,Дмитро Єрьоменко,milena56@example.com,028 843 70 84,Фізик,Козак-Кащенко,34065.58,43829.32,10,Середня,2024-07-05,Прийнято,2024-07-19,Результат керівник мимо бак робочий зрідка точно. Рот результат набір встати. Виблискувати видимо трясти міркування.,LinkedIn
194,59,Владислав Лубенець,tsybulenkoiaroslava@example.org,+380 95 489-28-45,Гірник,Міщенко-Артимович,20951.19,28005.6,15,Магістр,2024-09-18,Нова,,,Сайт компанії
195,63,Мирон Дашкевич,pzabila@example.net,+380 12 047-39-92,Стиліст,"Бабиченко, Онищенко and Уманець",49207.55,54651.7,3,Середня,2024-09-13,Співбесіда,2024-09-22,,Рекомендація
196,29,Емілія Жаліло,anitakybkalo@example.net,+380 57 529-90-13,Клоун,"Лагода, Жайворон and Засуха",46661.56,61515.58,1,Середня,2024-07-08,Прийнято,2024-07-17,Знімати повністю плід подвірʼя затримати адже помовчати. Спасти грати іспит голубчик плавно черевик інвалід. Вперед керівник заборонити небезпека.,Інше
197,24,Ярослава Дейсун,zorian13@example.net,+380 77 168-52-86,Кінокритик,Ребрик Inc,22948.41,31769.66,2,Середня,2024-06-19,Розглядається,,,Інше
198,28,Ростислав Олійник,tdziuba@example.com,+380 (76) 631-19-23,Фермер,Яремків-Дацюк,43113.95,62098.54,14,Бакалавр,2024-04-08,Розглядається,,,Сайт компанії
199,90,Венедикт Батіг,hryhorii16@example.com,025 073-20-82,Ріелтор,Мірошниченко-Єрьоменко,15723.25,19351.61,11,Магістр,2024-12-19,Нова,,,LinkedIn
200,57,Мілена Кащенко,oleksandrzinchenko@example.net,099 499-93-88,Золотар,"Рябошапка, Вакарчук and Єсипенко",46389.08,51924.16,3,Середня,2024-07-01,Розглядається,,,Work.ua
201,74,Пріска Стець,terezasmyk@example.net,055 516-46-11,Етнограф,"Копитко, Швачка and Михайличенко",22309.73,29278.05,6,Магістр,2023-12-28,Прийнято,2024-01-02,Палиця кордон зарплата даль ґазда головний здригнутися. Приятель зображати сміливий природа грати команда перед.,Інше
202,83,Ігор Базилевський,andriidavydenko@example.org,549 73 38,Психолог,Царенко Group,13712.21,19765.23,3,Бакалавр,2023-10-30,Співбесіда,2023-11-06,,LinkedIn
203,46,Валентина Цюпа,edemydenko@example.com,+380 40 674 29 11,Мистецтвознавець,Вернидуб Ltd,20333.3,24183.18,9,Середня,2024-01-11,Розглядається,,,Сайт компанії
204,97,Єлисавета Даниленко,bdzhus@example.org,097 305-93-37,Ботанік,Ляшко-Ярема,16031.74,19730.22,13,Середня,2024-08-27,Відхилено,2024-09-05,"Свіжий даль демократія факультет колектив. Пристойний написати натиснути пристрасть уточнити вовк.
Очко недолік перед насолода бетонний важкий. Висіти олівець правий демократія.",Рекомендація
205,45,Ганна Бабійчук,ierchenkosnizhana@example.com,487-79-92,Кінолог,"Чайка, Полтавець and Колесниченко",35656.73,42282.54,3,Середня,2023-10-05,Відхилено,2023-10-13,"Деякий метал реклама скинути байдужий дорогий.
Виконувати гідність порівняння так. Похмуро головка несподіваний виднітися.",Інше
206,3,Федір Слюсар,avramchukvasyl@example.net,274 67 03,Ботанік,"Скорик, Жаліло and Лубенець",28656.79,41928.97,14,Середня,2024-12-11,Розглядається,,,Work.ua
207,41,Лілія Абраменко,jvyshyvanyi@example.net,+380 11 187-82-65,Адвокат,Ребрик Ltd,46334.01,56474.78,8,PhD,2023-12-04,Прийнято,2023-12-07,Міркування заплакати виднітися білизна білизна висіти зате. Дружно чотири бігати редактор похмуро матерія. Колектив білизна ленінград господиня лягати болісно.,Рекомендація
208,78,Єлисавета Іваничук,valentynvermenych@example.org,051 458-86-15,Стоматолог,Джунь Inc,23112.02,28845.33,6,Магістр,2024-07-07,Пропозиція,2024-07-18,"Що заспокоїтися сходити заява. Розкішний що суглоб.
Актриса порт подвірʼя важкий неправда боєць приходити аналіз. Шолом здригнутися пісенька конструкція промовчати. Тута спорт вовк збільшуватися.",Сайт компанії
209,1,Устим Щербак,edyta74@example.net,434 36 09,Гірничий інженер,Франчук and Sons,35765.15,52981.06,10,Бакалавр,2024-11-05,Прийнято,2024-11-15,"Квапливий ніч болото поставити.
Поїзд пробувати палата занадто тута незвичний діловий. Метал тьмяний прем'єра. Мільярд висіти мотоцикл тривога. Результат князь прихований наштовхнутися.",Work.ua
210,95,Пантелеймон Атаманчук,alinapetliura@example.org,035 355-91-10,Реабілітолог,"Онищенко, Оліфіренко and Деркач",17471.43,19446.25,14,PhD,2024-04-28,Нова,,,Сайт компанії
211,76,Марʼяна Дзиндра,zlatoslava12@example.com,+380 98 963-04-72,Льотчик,Дзиндра LLC,28614.28,37148.46,4,PhD,2024-04-08,Пропозиція,2024-04-19,Суглоб головка виражений. Вітати тривога зрідка затримати дошлий.,Work.ua
212,84,Руслан Ящук,hshelest@example.net,+380 33 353-79-63,Локсмайстер,"Власюк, Пустовіт and Цимбалюк",48580.92,62709.85,6,PhD,2024-05-22,Розглядається,,,Інше
213,26,Еріка Романець,hennadii78@example.com,084 873-37-80,Антрополог,Цюпа-Нестайко,44226.93,61308.84,15,PhD,2024-10-23,Прийнято,2024-10-26,"Безглуздий вітрина заборонити народ отже керівник функція. Бігати результат образа.
Вибирати ніж командування перебивати упор порт. Радити каюта пристойний тьмяний засунути палиця висіти.",Сайт компанії
214,8,Володимира Гоголь,ssirobaba@example.com,+380 (60) 990-04-31,Кінолог,Бандурка PLC,29598.25,32702.6,1,Середня,2024-06-02,Відхилено,2024-06-05,Точно заспокоїтися прихований обуритися намір солома. Гроші супроводжуватися домогтися пристойний жити приходити.,LinkedIn
215,98,Віра Бандера,okhrimshutko@example.net,820 96 09,Художник,Бабариченко-Бандера,21607.68,31855.96,8,PhD,2023-06-18,Відхилено,2023-06-22,При заробити аж наполегливо місце танцювати. Підлога заспокоїтися пити конструкція.,Сайт компанії
216,56,Роман Шовкопляс,tkachenkoalevtyn@example.org,097 252 33 17,Кіноактор,Скоробогатько-Башполченко,45478.74,52095.8,8,PhD,2024-01-30,Прийнято,2024-02-03,"Армійський спорт нарада. Монета болото райком юний. Пробувати о пірʼя художній природа ламати настати несподівано.
Гроші купа вскакивать олівець вітрина. Поїзд хата рішення промовчати пастух отже.",Work.ua
217,48,Віталій Лагода,svitlanaadamenko@example.net,+380 49 394-85-65,Бібліотекар,Зубко Group,18510.42,23564.38,3,PhD,2023-12-13,Відхилено,2023-12-19,Низький поставити звільнити падати епоха зате. Адвокат струмок плід блін а здригнутися приятель.,Work.ua
218,71,Сніжана Перепелиця,dzakharenko@example.org,+380 75 870 15 37,Кухар,Канівець PLC,23844.06,30997.29,14,PhD,2024-02-25,Пропозиція,2024-03-08,Безглуздий ліхтарик падати валюта легко. Порт пірʼя раніше палата.,Рекомендація
