transaction_id,date,type,debit_account,credit_account,amount,description,reference_id,status,created_by,created_at,approved_by,approved_at,currency,exchange_rate
927,2024-06-23,Закупівля,2000,1000,31155.21,Дружно космос вираз радити.,TRX-927,Очікує,Йосип Журавель,2024-06-23,добродійка Віра Шамрай,2024-06-24 18:00:00,UAH,1.0
928,2024-07-16,Комунальні,4200,1000,53564.23,Оплата комунальних послуг,TRX-928,Очікує,Альбіна Карась,2024-07-16,Олесь Засядько,2024-07-17 19:00:00,UAH,1.0
929,2024-01-13,Інше,4400,1000,1923.59,Вітати метал співрозмовник жити заспівати житель.,TRX-929,Очікує,Златослава Овсієнко,2024-01-13,Леонтій Гайда,,UAH,1.0
930,2023-09-25,Інше,4500,1000,31716.26,Заява аж який район.,TRX-930,Відхилено,Валентин Дробаха,2023-09-25,Олекса Литвиненко,,UAH,1.0
931,2024-11-13,Зарплата,4100,1000,93523.28,Виплата заробітної плати,TRX-931,Проведено,Демид Якимчук,2024-11-13,Віктор Козак,2024-11-13 20:00:00,UAH,1.0
932,2024-12-15,Зарплата,4100,1000,23553.42,Виплата заробітної плати,TRX-932,Проведено,Венедикт Баран,2024-12-15,Розалія Фурс,2024-12-16 09:00:00,UAH,1.0
933,2024-04-05,Продаж,1000,3000,39522.3426,Продаж товару 71,SALE-563,Відхилено,Надія Тимченко,2024-04-05,Надія Скорик,2024-04-05 21:00:00,UAH,1.0
934,2023-01-06,Закупівля,1200,1000,18823.78,Вітрина актриса мати число результат.,TRX-934,Відхилено,Руслан Павличенко,2023-01-06,Єфрем Валенко,2023-01-06 20:00:00,UAH,1.0
935,2023-07-04,Продаж,1000,3000,474960.816,Продаж товару 76,SALE-51,Проведено,Камілла Міщенко,2023-07-04,Ярина Атаманюк,2023-07-04 04:00:00,UAH,1.0
936,2024-05-09,Закупівля,1300,1000,49219.19,Набір триста розкішний тривога.,TRX-936,Проведено,Федір Байдак,2024-05-09,Трохим Сірченко,2024-05-10 20:00:00,UAH,1.0
937,2024-04-26,Закупівля,4300,1000,78631.64,Рота витягувати блін розводити адвокат нині.,TRX-937,Очікує,Андрій Вахній,2024-04-26,Тимофій Оніщук,,UAH,1.0
938,2024-08-21,Продаж,1000,3000,39274.75199999999,Продаж товару 59,SALE-808,Проведено,Гаврило Базилевський,2024-08-21,Алексеєнко Олег Максимович,2024-08-21 10:00:00,UAH,1.0
939,2023-06-18,Комунальні,4200,1000,6652.73,Оплата комунальних послуг,TRX-939,Очікує,Степан Скиба,2023-06-18,Нестайко Мілена Костянтинівна,2023-06-19 15:00:00,UAH,1.0
940,2024-09-27,Зарплата,4100,1000,71990.81,Виплата заробітної плати,TRX-940,Проведено,Тетяна Негода,2024-09-27,Камілла Базавлученко,2024-09-28 21:00:00,UAH,1.0
941,2024-08-05,Закупівля,4000,1000,51567.32,Художній картинка занадто порт.,TRX-941,Відхилено,Панас Павленко,2024-08-05,Корпанюк Оксенія Святославівна,2024-08-06 22:00:00,UAH,1.0
942,2023-06-19,Інше,4100,1000,76069.19,Забирати дівка серйозний коричневий.,TRX-942,Очікує,Ліза Романчук,2023-06-19,Олена Титаренко,2023-06-19 18:00:00,UAH,1.0
943,2024-05-26,Комунальні,4200,1000,18152.05,Оплата комунальних послуг,TRX-943,Очікує,Едуард Сірченко,2024-05-26,Акименко Лілія Пантелеймонівна,2024-05-27 15:00:00,UAH,1.0
944,2024-06-27,Продаж,1000,3000,89887.572,Продаж товару 52,SALE-178,Проведено,Онисим Єрошенко,2024-06-27,Нестор Байда,2024-06-27 05:00:00,UAH,1.0
945,2024-01-17,Комунальні,4200,1000,28274.2,Оплата комунальних послуг,TRX-945,Проведено,пані Тетяна Андрієвич,2024-01-17,Костянтин Оробець,2024-01-18 19:00:00,UAH,1.0
946,2024-01-21,Закупівля,4500,1000,98697.58,Підкинути яскраво кора звільнення порівняння.,TRX-946,Очікує,Василь Олійник,2024-01-21,Антон Бебешко,2024-01-21 18:00:00,UAH,1.0
947,2024-02-20,Зарплата,4100,1000,16455.25,Виплата заробітної плати,TRX-947,Очікує,Орина Михалюк,2024-02-20,Євтушенко Зиновій Орхипович,2024-02-20 07:00:00,UAH,1.0
948,2023-06-17,Закупівля,2000,1000,99153.83,Наштовхнутися художній гараж.,TRX-948,Проведено,добродійка Христина Демʼяненко,2023-06-17,пані Михайлина Ковалюк,2023-06-18 22:00:00,UAH,1.0
949,2024-01-04,Зарплата,4100,1000,7023.75,Виплата заробітної плати,TRX-949,Очікує,Оксана Шутько,2024-01-04,пані Олена Юрчук,2024-01-04 20:00:00,UAH,1.0
950,2023-12-07,Закупівля,4100,1000,42678.14,Дрімати колишній різноманітний підкинути.,TRX-950,Очікує,Прохір Забарний,2023-12-07,Дан Кабаненко,2023-12-07 18:00:00,UAH,1.0
951,2023-09-03,Інше,4500,1000,38231.32,Гідність бігати подвірʼя.,TRX-951,Відхилено,Петро Жадан,2023-09-03,Георгій Девдюк,2023-09-04 04:00:00,UAH,1.0
952,2024-07-20,Зарплата,4100,1000,73936.66,Виплата заробітної плати,TRX-952,Проведено,Ольга Гунько,2024-07-20,Максим Дробаха,2024-07-20 06:00:00,UAH,1.0
953,2024-09-19,Комунальні,4200,1000,29906.41,Оплата комунальних послуг,TRX-953,Відхилено,Алевтин Яценко,2024-09-19,Степан Бандера,2024-09-19 17:00:00,UAH,1.0
954,2023-09-01,Ремонт,4400,1000,19091.949999999997,Ремонт обладнання 35,MAINT-981,Проведено,Остап Франко,2023-09-01,Олесь Калениченко,2023-09-02 18:00:00,UAH,1.0
955,2023-11-14,Продаж,1000,3000,366161.10959999997,Продаж товару 85,SALE-294,Відхилено,Сич Георгій Йосипович,2023-11-14,,2023-11-15 19:00:00,UAH,1.0
956,2023-04-18,Закупівля,1300,1000,19333.75,Світило аналіз господь мета.,TRX-956,Очікує,Андрій Андрощук,2023-04-18,Єва Барабаш,2023-04-18 04:00:00,UAH,1.0
957,2023-01-18,Зарплата,4100,1000,6942.07,Виплата заробітної плати,TRX-957,Проведено,Єрмоленко Віталій Миронович,2023-01-18,Світлана Кабалюк,2023-01-18 08:00:00,UAH,1.0
958,2024-04-23,Ремонт,4400,1000,26013.48,Ремонт обладнання 45,MAINT-854,Очікує,пані Людмила Ґерус,2024-04-23,Богданна Артимович,2024-04-23 09:00:00,UAH,1.0
959,2024-01-14,Продаж,1000,3000,29391.120000000003,Продаж товару 25,SALE-258,Очікує,Прохір Опанасенко,2024-01-14,Ростислав Сомко,2024-01-14 04:00:00,UAH,1.0
960,2023-01-14,Ремонт,4400,1000,16184.37,Ремонт обладнання 46,MAINT-818,Проведено,Алексюк Єлисей Олесьович,2023-01-14,Златослава Тарасенко,2023-01-15 13:00:00,UAH,1.0
961,2023-07-13,Інше,4300,1000,58906.23,Затягнутися настати вітрина спалити.,TRX-961,Проведено,Мирослав Чумак,2023-07-13,пан Степан Палій,,UAH,1.0
962,2024-03-26,Закупівля,1000,1000,99992.26,Точно сумний недолік метал.,TRX-962,Відхилено,Альберт Масляк,2024-03-26,Богуслава Фартушняк,,UAH,1.0
963,2023-07-06,Комунальні,4200,1000,43748.64,Оплата комунальних послуг,TRX-963,Очікує,Роман Сагаль,2023-07-06,Варвара Дубина,2023-07-06 20:00:00,UAH,1.0
964,2023-04-14,Ремонт,4400,1000,11209.76,Ремонт обладнання 26,MAINT-965,Очікує,Дарина Євдокименко,2023-04-14,Володимира Канівець,,UAH,1.0
965,2023-10-22,Інше,4500,1000,99217.62,Нарада триста похмуро факультет.,TRX-965,Проведено,Владислав Юхименко,2023-10-22,Таран Онисим Євгенійович,2023-10-24 00:00:00,UAH,1.0
966,2023-08-31,Продаж,1000,3000,212829.8,Продаж товару 28,SALE-885,Відхилено,Устим Семенченко,2023-08-31,Микитюк Едита Аркадіївна,2023-08-31 13:00:00,UAH,1.0
967,2024-07-29,Продаж,1000,3000,136480.386,Продаж товару 96,SALE-554,Проведено,Тереза Скорик,2024-07-29,Роксолана Овчаренко,2024-07-30 08:00:00,UAH,1.0
968,2024-06-27,Ремонт,4400,1000,4872.05,Ремонт обладнання 39,MAINT-871,Проведено,Віолетта Супруненко,2024-06-27,пані Ольга Данилюк,2024-06-28 06:00:00,UAH,1.0
969,2024-03-08,Зарплата,4100,1000,60636.54,Виплата заробітної плати,TRX-969,Відхилено,Геннадій Тригуб,2024-03-08,Онисим Артимишин,2024-03-08 06:00:00,UAH,1.0
970,2024-11-20,Продаж,1000,3000,220440.1375,Продаж товару 36,SALE-990,Відхилено,Любов Колодуб,2024-11-20,Ярослава Бабʼяк,2024-11-21 02:00:00,UAH,1.0
971,2024-12-17,Комунальні,4200,1000,90182.13,Оплата комунальних послуг,TRX-971,Проведено,Альбіна Чабан,2024-12-17,пані Амалія Сімашкевич,2024-12-19 00:00:00,UAH,1.0
972,2024-06-09,Закупівля,2100,1000,22186.9,Вовк увійти солома важкий настати палиця вперед.,TRX-972,Проведено,Стефан Дергач,2024-06-09,Ярина Нестайко,2024-06-09 07:00:00,UAH,1.0
973,2023-10-08,Інше,1100,1000,21026.11,Ковзати ліловий художній увійти.,TRX-973,Відхилено,Амвросій Батуринець,2023-10-08,Оксана Калениченко,2023-10-09 22:00:00,UAH,1.0
974,2023-02-21,Зарплата,4100,1000,34396.9,Виплата заробітної плати,TRX-974,Проведено,Орина Приймак,2023-02-21,Нестор Ємець,2023-02-22 16:00:00,UAH,1.0
975,2023-11-01,Ремонт,4400,1000,10895.83,Ремонт обладнання 19,MAINT-64,Очікує,Герман Аверченко,2023-11-01,Алла Засядько,2023-11-02 03:00:00,UAH,1.0
976,2024-05-31,Комунальні,4200,1000,66651.31,Оплата комунальних послуг,TRX-976,Очікує,Феофан Засуха,2024-05-31,Аніта Бандура,2024-06-01 01:00:00,UAH,1.0
977,2024-05-07,Ремонт,4400,1000,1502.51,Ремонт обладнання 15,MAINT-221,Відхилено,Талан Альберт Йосипович,2024-05-07,Людмила Литвиненко,2024-05-09 00:00:00,UAH,1.0
978,2024-12-12,Закупівля,4400,1000,95956.75,Здригатися заспокоїтися викинути образа увійти.,TRX-978,Очікує,Анжела Оробець,2024-12-12,,2024-12-13 22:00:00,UAH,1.0
979,2024-01-04,Інше,4300,1000,11923.88,Безглуздий жорстокий вскакивать занадто.,TRX-979,Відхилено,Чуйко Марʼяна Мартинівна,2024-01-04,Гайденко Євген Леопольдович,2024-01-05 12:00:00,UAH,1.0
980,2023-02-28,Закупівля,1100,1000,92507.96,М'Який розуміти картинка інший благати бак слати.,TRX-980,Очікує,Трохим Батюк,2023-02-28,Аарон Яремко,,UAH,1.0
981,2023-01-25,Інше,1300,1000,88200.69,Ідея вітрина порода щось заклик каюта міркування.,TRX-981,Відхилено,Яценюк Прохір Іванович,2023-01-25,Павло Сірченко,2023-01-26 19:00:00,UAH,1.0
982,2023-02-03,Комунальні,4200,1000,72177.69,Оплата комунальних послуг,TRX-982,Відхилено,Гордій Усик,2023-02-03,Василина Адаменко,2023-02-04 07:00:00,UAH,1.0
983,2024-08-17,Інше,2100,1000,51999.95,Юний важливий природа функція матерія.,TRX-983,Очікує,добродій Владислав Макогон,2024-08-17,Леопольд Закусило,2024-08-18 14:00:00,UAH,1.0
984,2024-10-29,Комунальні,4200,1000,91306.25,Оплата комунальних послуг,TRX-984,Очікує,Юхим Данчук,2024-10-29,Аліна Матвієнко,2024-10-29 01:00:00,UAH,1.0
985,2024-05-28,Інше,4500,1000,42025.93,Ґазда ставити залучати байдужий.,TRX-985,Відхилено,Олександр Каденюк,2024-05-28,Клавдія Стець,2024-05-28 10:00:00,UAH,1.0
986,2023-01-22,Інше,4300,1000,12837.95,Конструкція коваль заплакати ліловий іспит.,TRX-986,Відхилено,пані Наталія Петрик,2023-01-22,,2023-01-23 21:00:00,UAH,1.0
987,2024-04-07,Зарплата,4100,1000,89562.76,Виплата заробітної плати,TRX-987,Відхилено,Олена Ярема,2024-04-07,Леопольд Ющенко,2024-04-07 10:00:00,UAH,1.0
988,2023-04-20,Ремонт,4400,1000,5814.83,Ремонт обладнання 49,MAINT-162,Відхилено,Леопольд Бандура,2023-04-20,,2023-04-20 09:00:00,UAH,1.0
989,2023-09-19,Зарплата,4100,1000,85684.97,Виплата заробітної плати,TRX-989,Відхилено,Степан Атаманчук,2023-09-19,пан Зорян Туркало,2023-09-20 01:00:00,UAH,1.0
990,2023-09-11,Зарплата,4100,1000,63491.32,Виплата заробітної плати,TRX-990,Відхилено,Максим Бабко,2023-09-11,Дарина Петлюра,2023-09-11 06:00:00,UAH,1.0
991,2023-12-14,Закупівля,4400,1000,57716.47,Розстебнути солома нога інтелектуальний.,TRX-991,Очікує,пані Пріска Чумаченко,2023-12-14,Адам Лубенець,,UAH,1.0
992,2023-08-21,Інше,3000,1000,17273.49,Військовий прем'єра прихований.,TRX-992,Проведено,Юстина Цюпа,2023-08-21,Анастасія Заєць,2023-08-21 22:00:00,UAH,1.0
993,2023-04-16,Зарплата,4100,1000,29100.42,Виплата заробітної плати,TRX-993,Відхилено,Алла Павленко,2023-04-16,Семен Малик,2023-04-17 01:00:00,UAH,1.0
994,2024-11-12,Інше,1200,1000,63236.01,Нестерпний хліб порода зупинити.,TRX-994,Очікує,Мілена Твердохліб,2024-11-12,Максим Базилевич,2024-11-13 21:00:00,UAH,1.0
995,2023-06-09,Продаж,1000,3000,6691.380099999999,Продаж товару 20,SALE-220,Проведено,Соломія Артимишин,2023-06-09,Богданна Венгринович,,UAH,1.0
996,2024-11-25,Продаж,1000,3000,96476.9328,Продаж товару 79,SALE-126,Проведено,Максим Лубенець,2024-11-25,Ростислав Архипенко,2024-11-25 11:00:00,UAH,1.0
997,2024-12-10,Ремонт,4400,1000,11289.16,Ремонт обладнання 37,MAINT-97,Проведено,Ліза Ковалюк,2024-12-10,Юстина Теліженко,2024-12-11 17:00:00,UAH,1.0
998,2024-10-14,Продаж,1000,3000,226617.95520000003,Продаж товару 77,SALE-297,Відхилено,Богуслав Івасюк,2024-10-14,Миколай Олійник,2024-10-14 22:00:00,UAH,1.0
999,2023-09-14,Інше,4100,1000,24948.5,Правий сміливий рота шкарпетка.,TRX-999,Очікує,Джус Валентин Артемович,2023-09-14,,2023-09-15 04:00:00,UAH,1.0
1000,2023-11-07,Ремонт,4400,1000,2435.45,Ремонт обладнання 13,MAINT-564,Відхилено,Михайло Швачко,2023-11-07,Галина Фартушняк,2023-11-08 13:00:00,UAH,1.0
1001,2023-07-17,Продаж,1000,3000,110920.2672,Продаж товару 14,SALE-887,Відхилено,Ірена Мамчур,2023-07-17,Руслан Михайличенко,2023-07-18 08:00:00,UAH,1.0
1002,2024-12-16,Інше,4200,1000,56897.45,Упустити простір правління олівець командир.,TRX-1002,Очікує,Марко Закусило,2024-12-16,Анжела Ісаєнко,2024-12-16 06:00:00,UAH,1.0
1003,2024-07-27,Закупівля,1200,1000,12826.69,Гіркий сонце зупинити виражений гуляти видимо.,TRX-1003,Відхилено,Клавдія Зінкевич,2024-07-27,Христина Шморгун,2024-07-28 13:00:00,UAH,1.0
1004,2023-01-15,Інше,1000,1000,45717.5,ПодвірʼЯ їжа колектив холодно сходити.,TRX-1004,Відхилено,Ада Колісниченко,2023-01-15,Юхименко Мартин Олесьович,2023-01-16 19:00:00,UAH,1.0
1005,2023-08-07,Комунальні,4200,1000,70781.62,Оплата комунальних послуг,TRX-1005,Відхилено,Максим Василенко,2023-08-07,Златослава Худяк,2023-08-07 02:00:00,UAH,1.0
1006,2023-07-29,Закупівля,4300,1000,90228.92,Полюбити ручка райком тютюн видимо.,TRX-1006,Проведено,Фесенко Амвросій Глібович,2023-07-29,Пріска Чумаченко,2023-07-29 08:00:00,UAH,1.0
1007,2024-02-04,Закупівля,4300,1000,41469.59,Протягувати палата кільце їсти міра запустити.,TRX-1007,Відхилено,Юхим Гук,2024-02-04,Павленко Варфоломій Устимович,2024-02-05 14:00:00,UAH,1.0
1008,2023-04-10,Закупівля,4000,1000,97316.73,Встати прошепотіти за танцювати діловий.,TRX-1008,Проведено,Ірина Хомик,2023-04-10,Устим Медведенко,2023-04-11 03:00:00,UAH,1.0
1009,2023-05-18,Інше,1000,1000,51313.04,Світило взагалі бригада мить.,TRX-1009,Проведено,Шевченко Юстина Миронівна,2023-05-18,,2023-05-18 17:00:00,UAH,1.0
1010,2024-03-03,Продаж,1000,3000,169153.7757,Продаж товару 90,SALE-981,Проведено,Климент Андрієвич,2024-03-03,Орхип Єщенко,2024-03-03 01:00:00,UAH,1.0
1011,2023-03-18,Продаж,1000,3000,451786.56,Продаж товару 33,SALE-922,Відхилено,Хоменко Христина Трохимівна,2023-03-18,Богданна Іваничук,2023-03-18 10:00:00,UAH,1.0
1012,2023-12-19,Ремонт,4400,1000,6541.67,Ремонт обладнання 42,MAINT-852,Проведено,пан Демʼян Швачко,2023-12-19,Віра Філіпенко,2023-12-19 04:00:00,UAH,1.0
1013,2023-12-11,Закупівля,3000,1000,16403.26,Трясти гіркий пісенька правильний.,TRX-1013,Проведено,Святослава Адамчук,2023-12-11,Наталія Гаврилець,,UAH,1.0
1014,2024-04-08,Зарплата,4100,1000,7357.73,Виплата заробітної плати,TRX-1014,Очікує,пані Орися Проценко,2024-04-08,Дрозд Марʼяна Петрівна,2024-04-09 09:00:00,UAH,1.0
1015,2023-09-16,Інше,1300,1000,38432.91,Дівка нестерпний єдиний підлога незвичайний їжа.,TRX-1015,Очікує,пані Ганна Гаврилюк,2023-09-16,Богданна Лаба,2023-09-16 18:00:00,UAH,1.0
1016,2023-03-16,Закупівля,2100,1000,86727.71,Камінчик мати неправда шкільний.,TRX-1016,Очікує,пан Дмитро Алексеєнко,2023-03-16,Іван Цісик,,UAH,1.0
1017,2024-09-07,Комунальні,4200,1000,91743.09,Оплата комунальних послуг,TRX-1017,Проведено,Алла Алексеєнко,2024-09-07,Василина Шаблій,2024-09-08 21:00:00,UAH,1.0
1018,2023-06-09,Ремонт,4400,1000,6384.48,Ремонт обладнання 10,MAINT-583,Відхилено,Данна Перебийніс,2023-06-09,пані Клавдія Ґереґа,2023-06-09 06:00:00,UAH,1.0
1019,2023-01-04,Інше,1200,1000,6497.86,Прірва точно спасти паща кут.,TRX-1019,Очікує,Варвара Ляшко,2023-01-04,Святослава Бабариченко,2023-01-05 00:00:00,UAH,1.0
1020,2024-04-04,Продаж,1000,3000,203755.392,Продаж товару 100,SALE-63,Відхилено,Дашенко Євген Костянтинович,2024-04-04,Рева Богодар Станіславович,2024-04-05 13:00:00,UAH,1.0
1021,2023-05-28,Комунальні,4200,1000,17134.41,Оплата комунальних послуг,TRX-1021,Проведено,Лариса Ватаманюк,2023-05-28,пані Ольга Ващенко-Захарченко,2023-05-29 06:00:00,UAH,1.0
1022,2024-07-17,Інше,1300,1000,2982.68,Рота квапливий байдужий прощення взагалі.,TRX-1022,Відхилено,Пріска Носаченко,2024-07-17,Іщак Йосип Пантелеймонович,2024-07-18 05:00:00,UAH,1.0
1023,2024-10-15,Ремонт,4400,1000,25333.25,Ремонт обладнання 8,MAINT-126,Проведено,Кирило Саєнко,2024-10-15,,2024-10-16 06:00:00,UAH,1.0
1024,2024-01-16,Ремонт,4400,1000,23619.65,Ремонт обладнання 38,MAINT-782,Проведено,Дмитро Худяк,2024-01-16,Гузенко Михайло Соломонович,2024-01-16 07:00:00,UAH,1.0
1025,2024-03-04,Комунальні,4200,1000,82094.2,Оплата комунальних послуг,TRX-1025,Проведено,Марина Кабаненко,2024-03-04,Прохір Бабʼюк,2024-03-05 16:00:00,UAH,1.0
1026,2023-06-09,Закупівля,4500,1000,36431.66,Команда потім призначити приятель.,TRX-1026,Очікує,Михайлина Зайченко,2023-06-09,Орина Джунь,2023-06-10 07:00:00,UAH,1.0
1027,2024-12-11,Інше,2000,1000,12035.83,Запустити падати страта перебивати монета.,TRX-1027,Відхилено,Камілла Авраменко,2024-12-11,Єфрем Смик,2024-12-11 05:00:00,UAH,1.0
1028,2024-01-04,Продаж,1000,3000,383056.8192,Продаж товару 61,SALE-636,Очікує,Софія Фастенко,2024-01-04,Аліна Корбут,2024-01-05 17:00:00,UAH,1.0
1029,2024-09-20,Продаж,1000,3000,575319.456,Продаж товару 62,SALE-905,Очікує,Артимишин Федір Вадимович,2024-09-20,Богуслава Єсипенко,2024-09-20 05:00:00,UAH,1.0
1030,2023-05-15,Зарплата,4100,1000,7468.69,Виплата заробітної плати,TRX-1030,Очікує,Дарина Гаврюшенко,2023-05-15,Тимофій Данильчук,2023-05-16 04:00:00,UAH,1.0
1031,2023-04-01,Закупівля,4300,1000,61789.85,П'Ятеро триста конструкція коричневий приятель.,TRX-1031,Очікує,Клавдія Ребрик,2023-04-01,пан Ілля Лупій,2023-04-02 01:00:00,UAH,1.0
1032,2024-04-01,Закупівля,3000,1000,93473.63,Терапія термін слати чотири виражений плід.,TRX-1032,Відхилено,Феофан Алексійчук,2024-04-01,Руслан Шведченко,2024-04-01 21:00:00,UAH,1.0
1033,2024-09-02,Комунальні,4200,1000,79620.8,Оплата комунальних послуг,TRX-1033,Відхилено,Сніжана Чуприна,2024-09-02,панна Оксана Литвин,2024-09-03 12:00:00,UAH,1.0
1034,2023-03-05,Зарплата,4100,1000,96246.56,Виплата заробітної плати,TRX-1034,Проведено,Назар Палій,2023-03-05,панна Марія Андріїшин,,UAH,1.0
1035,2024-03-04,Зарплата,4100,1000,98617.15,Виплата заробітної плати,TRX-1035,Проведено,панна Альбіна Ребрик,2024-03-04,Валентина Пʼятаченко,2024-03-05 14:00:00,UAH,1.0
1036,2023-12-27,Ремонт,4400,1000,2113.02,Ремонт обладнання 9,MAINT-980,Очікує,Кирило Данченко,2023-12-27,Артюх Вікторія Юстимівна,,UAH,1.0
1037,2024-01-19,Інше,1300,1000,26035.94,Єдиний сміливий уточнити інший неправда.,TRX-1037,Відхилено,Болеслав Верменич,2024-01-19,Данило Чубай,2024-01-20 06:00:00,UAH,1.0
1038,2024-10-01,Комунальні,4200,1000,34008.36,Оплата комунальних послуг,TRX-1038,Проведено,Прохір Микитюк,2024-10-01,Альбіна Євдокименко,2024-10-02 20:00:00,UAH,1.0
1039,2024-04-25,Ремонт,4400,1000,21173.95,Ремонт обладнання 23,MAINT-9,Очікує,Богодар Хмара,2024-04-25,,2024-04-26 19:00:00,UAH,1.0
1040,2023-10-31,Комунальні,4200,1000,1213.66,Оплата комунальних послуг,TRX-1040,Очікує,Геннадій Жук,2023-10-31,Богданна Деркач,2023-11-01 08:00:00,UAH,1.0
1041,2023-12-31,Комунальні,4200,1000,43594.68,Оплата комунальних послуг,TRX-1041,Очікує,Святослава Іваничук,2023-12-31,Бандера Ада Теодорівна,2024-01-01 19:00:00,UAH,1.0
1042,2023-09-30,Ремонт,4400,1000,20972.65,Ремонт обладнання 1,MAINT-295,Відхилено,Еріка Бабич,2023-09-30,пані Єва Байрак,2023-09-30 18:00:00,UAH,1.0
1043,2024-09-14,Комунальні,4200,1000,70061.85,Оплата комунальних послуг,TRX-1043,Відхилено,Марʼяна Хорішко,2024-09-14,Макар Цимбал,2024-09-15 01:00:00,UAH,1.0
1044,2024-09-26,Продаж,1000,3000,617274.6048,Продаж товару 32,SALE-170,Проведено,Демид Вишняк,2024-09-26,Едита Вітрук,2024-09-27 14:00:00,UAH,1.0
1045,2023-04-19,Продаж,1000,3000,113156.448,Продаж товару 30,SALE-585,Проведено,Данна Чуйко,2023-04-19,пан Володимир Єрошенко,2023-04-19 02:00:00,UAH,1.0
1046,2024-10-29,Ремонт,4400,1000,8963.42,Ремонт обладнання 24,MAINT-976,Очікує,Веніямин Скоробогатько,2024-10-29,Тетяна Деряжна,2024-10-29 08:00:00,UAH,1.0
1047,2024-07-02,Зарплата,4100,1000,39299.97,Виплата заробітної плати,TRX-1047,Очікує,Базилевич Златослава Охрімівна,2024-07-02,Алла Гук,2024-07-02 18:00:00,UAH,1.0
1048,2023-11-04,Інше,4100,1000,3677.75,Трубка присвятити командувач прем'єра олівець.,TRX-1048,Відхилено,Ірина Гавриленко,2023-11-04,Шиян Роман Миколайович,,UAH,1.0
1049,2024-03-29,Продаж,1000,3000,40609.94,Продаж товару 17,SALE-44,Проведено,панна Марія Конопля,2024-03-29,Софія Кармалюк,2024-03-30 09:00:00,UAH,1.0
1050,2024-01-09,Зарплата,4100,1000,46077.8,Виплата заробітної плати,TRX-1050,Проведено,пані Оксенія Кащенко,2024-01-09,Софія Дзюба,2024-01-09 20:00:00,UAH,1.0
1051,2023-01-12,Ремонт,4400,1000,29245.5,Ремонт обладнання 26,MAINT-297,Очікує,Козаченко Олена Арсенівна,2023-01-12,пан Ростислав Юрченко,2023-01-12 11:00:00,UAH,1.0
1052,2023-02-07,Інше,4500,1000,64443.19,Хід дівка диявол спасти холодно.,TRX-1052,Очікує,Артем Рубан,2023-02-07,Лариса Даниленко,2023-02-08 04:00:00,UAH,1.0
1053,2023-03-19,Закупівля,4200,1000,49726.09,Зображати рис штаб пропаганда заспівати.,TRX-1053,Відхилено,Захар Яремків,2023-03-19,Стефан Байда,2023-03-19 13:00:00,UAH,1.0
1054,2023-02-10,Зарплата,4100,1000,42454.52,Виплата заробітної плати,TRX-1054,Відхилено,Алла Тригуб,2023-02-10,Ковалюк Яків Яремович,2023-02-11 10:00:00,UAH,1.0
1055,2024-08-21,Продаж,1000,3000,201334.18199999997,Продаж товару 9,SALE-451,Відхилено,Дмитро Палій,2024-08-21,Аверченко Богдан Олексович,2024-08-21 23:00:00,UAH,1.0
1056,2023-10-05,Ремонт,4400,1000,9319.37,Ремонт обладнання 13,MAINT-218,Відхилено,Цушко Орина Болеславівна,2023-10-05,Іван Бабій,2023-10-06 01:00:00,UAH,1.0
1057,2024-06-11,Інше,4500,1000,5673.18,Черевик поставити черевик покидати безпорадний.,TRX-1057,Очікує,Вікторія Пилипенко,2024-06-11,пані Любов Вергун,2024-06-12 02:00:00,UAH,1.0
1058,2023-07-08,Ремонт,4400,1000,27207.629999999997,Ремонт обладнання 22,MAINT-390,Проведено,пані Орина Єресько,2023-07-08,пані Віра Венгринович,2023-07-09 07:00:00,UAH,1.0
1059,2024-03-05,Закупівля,3100,1000,11865.16,За розгубитися промовчати монета.,TRX-1059,Проведено,Марко Баклан,2024-03-05,пані Ірена Баклан,2024-03-05 11:00:00,UAH,1.0
1060,2024-12-11,Зарплата,4100,1000,66742.11,Виплата заробітної плати,TRX-1060,Відхилено,Костянтин Шелест,2024-12-11,Зорян Єременко,2024-12-11 08:00:00,UAH,1.0
1061,2023-04-26,Закупівля,3100,1000,18110.85,Поява багаття загроза гіркий.,TRX-1061,Очікує,Тетяна Цюпа,2023-04-26,Ілля Жук,2023-04-27 23:00:00,UAH,1.0
1062,2023-04-22,Продаж,1000,3000,20332.7946,Продаж товару 84,SALE-643,Відхилено,Семен Вернигора,2023-04-22,пані Віра Удовенко,,UAH,1.0
1063,2023-06-10,Закупівля,4200,1000,91801.25,Господиня очко поїзд виблискувати почуття штаб.,TRX-1063,Відхилено,Леонід Бандура,2023-06-10,Віолетта Якименко,2023-06-11 18:00:00,UAH,1.0
1064,2024-01-19,Комунальні,4200,1000,28759.97,Оплата комунальних послуг,TRX-1064,Очікує,Леонід Мазепа,2024-01-19,пані Пріска Гупало,2024-01-19 11:00:00,UAH,1.0
1065,2024-06-20,Зарплата,4100,1000,36919.27,Виплата заробітної плати,TRX-1065,Відхилено,Юстина Бараник,2024-06-20,Вікторія Андрейко,2024-06-21 09:00:00,UAH,1.0
1066,2023-04-03,Ремонт,4400,1000,37955.630000000005,Ремонт обладнання 15,MAINT-694,Очікує,Георгій Воблий,2023-04-03,Ліза Годунок,2023-04-03 02:00:00,UAH,1.0
